1784765171.988990270 68.97 61068869858 0
1784765173.020577618 89.28 61112919170 0
1784765174.054477484 61.69 61158870285 0
1784765175.087835763 52.44 61198136656 0
1784765176.122899837 52.19 61242811485 0
1784765177.158567592 51.95 61284999245 0
1784765178.190814651 51.94 61328809571 0
1784765179.223135606 51.94 61371957562 0
1784765180.257339095 51.94 61417630157 0
1784765181.289960355 51.94 61460015157 0
1784765182.324860133 51.94 61502873964 0
1784765183.359726225 51.94 61549541793 0
1784765184.392562769 51.94 61591356723 0
1784765185.427005126 51.92 61638750360 0
1784765186.462491866 51.93 61682731835 0
1784765187.496310374 51.95 61728517400 0
1784765188.530559257 51.90 61776857247 0
1784765189.563565857 51.89 61821606733 0
1784765190.597556429 51.85 61869014514 0
1784765191.630180714 51.87 61912756530 0
1784765192.663184881 51.84 61958269709 0
1784765193.696615097 51.79 62005347353 0
1784765194.731108602 51.85 62046082017 0
1784765195.764432522 51.79 62091037807 0
1784765196.799239326 51.79 62132399300 0
1784765197.833392578 51.75 62176541014 0
1784765198.868358426 51.74 62219099803 0
1784765199.901571734 51.73 62263051357 0
1784765200.935054395 51.74 62303084778 0
1784765201.967860532 51.73 62342899004 0
1784765203.002328594 51.71 62383305178 0
1784765204.035472057 51.72 62427487860 0
1784765205.071089116 51.68 62470246147 0
1784765206.103883914 51.68 62517826389 0
1784765207.137241696 51.73 62559584651 0
1784765208.172145388 51.72 62603954793 0
1784765209.205662851 51.64 62645256231 0
1784765210.239712369 51.68 62690320170 0
1784765211.272844721 51.66 62732766323 0
1784765212.306660596 51.65 62778184583 0
1784765213.339617556 51.66 62822716201 0
1784765214.372914590 51.64 62865135012 0
1784765215.409379697 51.59 62907501931 0
1784765216.444063479 51.65 62951246556 0
1784765217.479866441 51.61 62993504762 0
1784765218.513585474 51.58 63035078998 0
1784765219.547693044 51.57 63075991188 0
1784765220.582233346 51.68 63116689203 0
1784765221.615430697 51.63 63160060571 0
1784765222.649882151 51.56 63213715954 0
1784765223.685154752 51.53 63256641148 0
1784765224.719918276 51.59 63302379536 0
1784765225.753893371 51.60 63343274775 0
1784765226.788777407 51.63 63386043498 0
1784765227.822952096 51.60 63429094678 0
1784765228.855868963 51.57 63475217460 0
1784765229.891552611 51.56 63518267877 0
1784765230.926033068 51.61 63559988894 0
1784765231.959962856 51.54 63602952523 0
1784765233.159912849 51.58 63699550219 0
1784765234.188603489 87.27 63781220297 0
1784765235.221437871 90.26 63847922032 0
1784765236.257977922 91.56 63928041317 0
1784765237.291707968 53.41 64007969343 0
1784765238.325237899 52.80 64086432464 0
1784765239.359546467 52.44 64163941761 0
1784765240.391863413 52.43 64244005111 0
1784765241.423345945 52.29 64322807157 0
1784765242.456445046 51.98 64402371661 0
1784765243.490250094 51.93 64481604014 0
1784765244.522583858 51.93 64562151912 0
1784765245.556212770 51.93 64642103633 0
1784765246.588781080 51.93 64721690292 0
1784765247.620494908 51.93 64805263042 0
1784765248.653083796 51.93 64884449163 0
1784765249.685108784 51.93 64963139246 0
1784765250.717850787 51.93 65041646829 0
1784765251.748745614 51.93 65125814107 0
1784765252.780489932 51.93 65205331052 0
1784765253.812595764 51.93 65284428905 0
1784765254.845436146 51.93 65362886198 0
1784765255.947141070 51.93 65452348292 0
1784765256.979500129 51.93 65531825917 0
1784765258.010828482 55.53 78532086 0
1784765259.041535951 87.79 157692147 0
1784765260.070226340 90.82 242548613 0
1784765261.102970767 60.26 322351005 0
